0.069446,0
0.230683,0
0.388753,0
0.546029,0
0.703692,0
0.860754,0
1.017536,0
1.175618,0
1.332797,0
1.490213,0
1.647157,0
1.803864,0
1.961173,0
2.118451,0.0006
2.275556,0.0007
2.433605,0.0008
2.590001,0.001
2.747824,0.0011
2.904553,0.0011
3.062678,0.0014
3.220018,0.0016
3.37693,0.0017
3.534743,0.0019
3.691654,0.0022
3.84863,0.0024
4.006486,0.0026
4.163429,0.0028
4.321277,0.0029
4.477845,0.003
4.635798,0.0033
4.792977,0.0036
4.95079,0.0039
5.106704,0.0041
5.193858,0.0043
5.207112,0.0045
5.213948,0.0045
5.217135,0.0045
5.219775,0.0045
5.221009,0.0045
5.221965,0.0045
5.225935,0.0046
5.225774,0.0046
5.225796,0.0046
5.225935,0.0046
5.225753,0.0046
5.226,0.0046
5.226021,0.0045
5.103774,0.0044
4.946744,0.0045
4.788974,0.0045
4.631204,0.0042
4.473252,0.0041
4.316147,0.0039
4.158578,0.0037
4.001302,0.0036
3.844004,0.0034
3.686653,0.0032
3.529462,0.003
3.371853,0.0028
3.214738,0.0027
3.05714,0.0026
2.899187,0.0023
2.742362,0.0021
2.58456,0.002
2.42782,0.002
2.269868,0.0017
2.112699,0.0015
1.955023,0.0013
1.797672,0.0011
1.640664,0.001
1.483763,0.0008
1.326412,0.0007
1.169329,0.0006
1.011763,0.0006
0.854497,0.0005
0.697607,0.0005
0.540299,0.0004
0.382722,0.0004
0.225885,0.0004
0.069124,0.0003
-0.002415,0.0013
-0.002415,-0.0002
